	lat	lon	adder	state	zipcode
73	32.9084	-96.8028	Forestn  11700 Preston Rd  Dallas	TX	75230
74	36.1577	-115.288	Fort Apachen  8855 West Charleston Blvd.  Las Vegas	NV	89117
75	33.1311	-96.6565	Fairviewn  Fairview Town Center  105 Stacy Road  Fairview	TX	75069
76	36.0859	-79.8343	Greensboro Friendlyn  3202 West Friendly Avenue  Greensboro	NC	27408-7604
77	36.1031	-86.8187	Green Hillsn  4021 Hillsboro Pike  Nashville	TN	37215
78	41.715	-72.6071	Glastonburyn  55 Welles Street  Glastonbury	CT	06033
79	34.1511	-118.246	Glendalen  331 North Glendale Ave  Glendale	CA	91206
80	41.0331	-73.6239	Greenwichn  90 E. Putnam Ave.  Greenwich	CT	06830
81	38.9011	-77.0491	Foggy Bottomn  2201 I Street NW  Washington	DC	20037
82	30.3881	-97.7414	Gatewayn  9607 Research Blvd.  Austin	TX	78759
83	42.3531	-72.5555	Hadleyn  327 Russell St  Hadley	MA	01035
84	37.8128	-122.261	Oaklandn  230 Bay Place  Oakland	CA	94612
85	36.0234	-115.082	Hendersonn  100 S. Green Valley Pkwy  Henderson	NV	89012
86	42.1777	-70.9096	Hinghamn  94 Derby Street  Derby Street Shoppes  Hingham	MA	02043
87	32.7479	-117.158	Hillcrestn  711 University Ave  San Diego	CA	92103
88	34.0915	-118.361	West Hollywoodn  7871 Santa Monica Blvd  West Hollywood	CA	90046
89	40.7237	-73.9923	Boweryn  95 East Houston St  New York	NY	10002
90	32.8205	-96.8144	Highland Parkn  4100 Lomo Alto Dr  Highland Park	TX	75219
91	45.5369	-122.619	Hollywoodn  4301 NE Sandy Blvd.  Portland	OR	97213
92	40.026	-105.281	Ideal Marketn  1275 Alpine Ave.  Boulder	CO	80304
93	39.284	-76.5995	Harbor Eastn  1001 Fleet Street  Suite A  Baltimore	MD	21202
94	47.6372	-122.377	Interbayn  2001 15th Avenue W  Seattle	WA	98119
95	33.6964	-117.826	Jamboreen  2847 Park Avenue  Tustin	CA	92782
96	30.1851	-81.6267	Jacksonvillen  10601 San Jose Blvd  Jacksonville	FL	32257
97	40.1079	-75.1161	Jenkintownn  1575 The Fairway  Jenkintown	PA	19046
98	40.789	-73.5346	Jerichon  429 North Broadway  Jericho	NY	11753-2106
99	42.3216	-71.111	Jamaica Plainn  413 Centre Street  Jamaica Plain	MA	02130
100	21.3938	-157.743	Kailuan  629 Kailua Road	HI	96734
101	29.7395	-95.4181	Kirbyn  2955 Kirby Dr  Houston	TX	77098
102	49.2685	-123.157	Kitsilanon  2285 West 4th Avenue  Vancouver	BC	V6K
103	21.2769	-157.786	Honolulun  4211 Waiu0027alae Avenue  Honolulu	HI	96816
104	39.1226	-77.2378	Kentlandsn  316 Kentlands Blvd  Gaithersburg	MD	20878-5454
105	37.8934	-122.117	Lafayetten  3502 Mt. Diablo Blvd.  Lafayette	CA	94549
106	32.8687	-117.231	La Jollan  8825 Villa La Jolla Dr  La Jolla	CA	92037-9994
107	37.3989	-122.111	Los Altosn  4800 El Camino Real  Los Altos	CA	94022
108	33.7549	-118.109	Long Beachn  6550 E. Pacific Coast Highway  Long Beach	CA	90803
109	33.5544	-117.713	Laguna Nigueln  23932 Aliso Creek Road  Laguna Niguel	CA	92677
110	37.2365	-121.961	Los Gatosn  15980 Los Gatos Blvd  Los Gatos	CA	95032
111	40.87	-73.1267	Lake Grove n  Lake Grove Commons  120 New Moriches Road  Lake Grove	NY	11755
112	32.8158	-96.7523	Lakewoodn  2118 Aams Road  Dallas	TX	75214
113	45.5233	-122.637	Laurelhurstn  2825 East Burnside St.  Portland	OR	97214
114	30.2706	-97.7533	Lamarn  525 N Lamar Blvd.  Austin	TX	78703
115	47.8199	-122.272	Lynnwoodn  2800 196th St. SW  Lynnwood	WA	98036
116	38.2487	-85.626	Louisville n  4944 Shelbyville Road  Louisville	KY	40207
117	36.0676	-115.174	Las Vegas Blvdn  6689 Las Vegas Blvd.  Las Vegas	NV	89119
118	33.46	-86.7526	Mountain Brookn  3100 Cahaba Village Plaza  Birmingham	AL	35243
119	40.717	-74.2867	Millburn - Unionn  2245 Springfield Ave.  Vauxhall	NJ	07088
120	35.9342	-86.8249	McEwenn  1566 West McEwen Drive  Franklin	TN	37067
121	42.417	-71.1266	Medfordn  2151 Mystic Valley Parkway  Medford	MA	02155
122	33.9811	-84.4267	Merchants Walkn  1311 Johnson Ferry Road NE  Suite 580  Marietta	GA	30068
123	40.7595	-73.9661	Midtown East (E 57th St)n  226 East 57th Street  Between 2nd u0026 3rd Avenue  New York	NY	10022
124	40.7974	-73.6707	Manhassetn  2101 Northern Blvd  Manhasset	NY	11030
125	41.2483	-73.0253	Milfordn  1686 Boston Post Road  Milford	CT	06460
126	45.6147	-122.506	Mill Plainn  815 Southeast 160th Avenue  Vancouver	WA	98683
